loop_number:1, bump_number:0, step_number:1, totalValence:-2
loop_number:2, bump_number:0, step_number:2, totalValence:-4
loop_number:3, bump_number:1, step_number:3, totalValence:-14
loop_number:4, bump_number:1, step_number:4, totalValence:-16
loop_number:5, bump_number:1, step_number:5, totalValence:-19
loop_number:6, bump_number:1, step_number:6, totalValence:-14
loop_number:7, bump_number:1, step_number:7, totalValence:-9
loop_number:8, bump_number:1, step_number:8, totalValence:-4
loop_number:9, bump_number:2, step_number:9, totalValence:-14
loop_number:10, bump_number:3, step_number:10, totalValence:-24
loop_number:11, bump_number:3, step_number:11, totalValence:-27
loop_number:12, bump_number:3, step_number:12, totalValence:-22
loop_number:13, bump_number:3, step_number:13, totalValence:-25
loop_number:14, bump_number:4, step_number:14, totalValence:-35
loop_number:15, bump_number:4, step_number:15, totalValence:-38
loop_number:16, bump_number:4, step_number:16, totalValence:-33
loop_number:17, bump_number:4, step_number:17, totalValence:-36
loop_number:18, bump_number:5, step_number:18, totalValence:-46
loop_number:19, bump_number:5, step_number:19, totalValence:-48
loop_number:20, bump_number:6, step_number:20, totalValence:-58
loop_number:21, bump_number:6, step_number:21, totalValence:-59
loop_number:22, bump_number:7, step_number:22, totalValence:-69
loop_number:23, bump_number:7, step_number:23, totalValence:-72
loop_number:24, bump_number:7, step_number:24, totalValence:-67
loop_number:25, bump_number:7, step_number:25, totalValence:-69
loop_number:26, bump_number:7, step_number:26, totalValence:-72
loop_number:27, bump_number:7, step_number:27, totalValence:-67
loop_number:28, bump_number:7, step_number:28, totalValence:-69
loop_number:29, bump_number:7, step_number:29, totalValence:-64
loop_number:30, bump_number:7, step_number:30, totalValence:-65
loop_number:31, bump_number:7, step_number:31, totalValence:-68
loop_number:32, bump_number:7, step_number:32, totalValence:-63
loop_number:33, bump_number:7, step_number:33, totalValence:-64
loop_number:34, bump_number:8, step_number:34, totalValence:-74
loop_number:35, bump_number:8, step_number:35, totalValence:-77
loop_number:36, bump_number:8, step_number:36, totalValence:-80
loop_number:37, bump_number:9, step_number:37, totalValence:-90
loop_number:38, bump_number:9, step_number:38, totalValence:-93
loop_number:39, bump_number:10, step_number:39, totalValence:-103
loop_number:40, bump_number:10, step_number:40, totalValence:-105
loop_number:41, bump_number:10, step_number:41, totalValence:-108
loop_number:42, bump_number:10, step_number:42, totalValence:-111
loop_number:43, bump_number:10, step_number:43, totalValence:-112
loop_number:44, bump_number:10, step_number:44, totalValence:-107
loop_number:45, bump_number:10, step_number:45, totalValence:-108
loop_number:46, bump_number:10, step_number:46, totalValence:-111
loop_number:47, bump_number:10, step_number:47, totalValence:-113
loop_number:48, bump_number:10, step_number:48, totalValence:-116
loop_number:49, bump_number:10, step_number:49, totalValence:-118
loop_number:50, bump_number:10, step_number:50, totalValence:-113
loop_number:51, bump_number:10, step_number:51, totalValence:-115
loop_number:52, bump_number:10, step_number:52, totalValence:-117
loop_number:53, bump_number:10, step_number:53, totalValence:-118
loop_number:54, bump_number:10, step_number:54, totalValence:-120
loop_number:55, bump_number:10, step_number:55, totalValence:-122
loop_number:56, bump_number:10, step_number:56, totalValence:-124
loop_number:57, bump_number:10, step_number:57, totalValence:-127
loop_number:58, bump_number:10, step_number:58, totalValence:-130
loop_number:59, bump_number:10, step_number:59, totalValence:-133
loop_number:60, bump_number:10, step_number:60, totalValence:-134
loop_number:61, bump_number:10, step_number:61, totalValence:-135
loop_number:62, bump_number:10, step_number:62, totalValence:-137
loop_number:63, bump_number:10, step_number:63, totalValence:-138
loop_number:64, bump_number:10, step_number:64, totalValence:-141
loop_number:65, bump_number:10, step_number:65, totalValence:-142
loop_number:66, bump_number:10, step_number:66, totalValence:-137
loop_number:67, bump_number:10, step_number:67, totalValence:-138
loop_number:68, bump_number:10, step_number:68, totalValence:-139
loop_number:69, bump_number:10, step_number:69, totalValence:-140
loop_number:70, bump_number:10, step_number:70, totalValence:-142
loop_number:71, bump_number:10, step_number:71, totalValence:-143
loop_number:72, bump_number:10, step_number:72, totalValence:-145
loop_number:73, bump_number:10, step_number:73, totalValence:-148
loop_number:74, bump_number:10, step_number:74, totalValence:-149
loop_number:75, bump_number:10, step_number:75, totalValence:-144
loop_number:76, bump_number:10, step_number:76, totalValence:-146
loop_number:77, bump_number:10, step_number:77, totalValence:-148
loop_number:78, bump_number:10, step_number:78, totalValence:-143
loop_number:79, bump_number:10, step_number:79, totalValence:-144
loop_number:80, bump_number:10, step_number:80, totalValence:-147
loop_number:81, bump_number:10, step_number:81, totalValence:-148
loop_number:82, bump_number:10, step_number:82, totalValence:-143
loop_number:83, bump_number:10, step_number:83, totalValence:-144
loop_number:84, bump_number:10, step_number:84, totalValence:-139
loop_number:85, bump_number:10, step_number:85, totalValence:-140
loop_number:86, bump_number:10, step_number:86, totalValence:-135
loop_number:87, bump_number:10, step_number:87, totalValence:-137
loop_number:88, bump_number:10, step_number:88, totalValence:-139
loop_number:89, bump_number:10, step_number:89, totalValence:-140
loop_number:90, bump_number:10, step_number:90, totalValence:-143
loop_number:91, bump_number:10, step_number:91, totalValence:-144
loop_number:92, bump_number:10, step_number:92, totalValence:-147
loop_number:93, bump_number:10, step_number:93, totalValence:-149
loop_number:94, bump_number:10, step_number:94, totalValence:-151
loop_number:95, bump_number:10, step_number:95, totalValence:-153
loop_number:96, bump_number:10, step_number:96, totalValence:-156
loop_number:97, bump_number:10, step_number:97, totalValence:-158
loop_number:98, bump_number:10, step_number:98, totalValence:-160
loop_number:99, bump_number:11, step_number:99, totalValence:-170
loop_number:100, bump_number:11, step_number:100, totalValence:-173
loop_number:101, bump_number:11, step_number:101, totalValence:-175
loop_number:102, bump_number:11, step_number:102, totalValence:-170
loop_number:103, bump_number:11, step_number:103, totalValence:-165
loop_number:104, bump_number:11, step_number:104, totalValence:-166
loop_number:105, bump_number:11, step_number:105, totalValence:-161
loop_number:106, bump_number:12, step_number:106, totalValence:-171
loop_number:107, bump_number:12, step_number:107, totalValence:-173
loop_number:108, bump_number:13, step_number:108, totalValence:-183
loop_number:109, bump_number:13, step_number:109, totalValence:-185
loop_number:110, bump_number:13, step_number:110, totalValence:-188
loop_number:111, bump_number:13, step_number:111, totalValence:-190
loop_number:112, bump_number:13, step_number:112, totalValence:-192
loop_number:113, bump_number:13, step_number:113, totalValence:-195
loop_number:114, bump_number:13, step_number:114, totalValence:-196
loop_number:115, bump_number:13, step_number:115, totalValence:-197
loop_number:116, bump_number:13, step_number:116, totalValence:-192
loop_number:117, bump_number:13, step_number:117, totalValence:-193
loop_number:117, bump_number:13, step_number:118, totalValence:-188
loop_number:118, bump_number:13, step_number:119, totalValence:-189
loop_number:118, bump_number:13, step_number:120, totalValence:-184
loop_number:119, bump_number:13, step_number:121, totalValence:-186
loop_number:120, bump_number:13, step_number:122, totalValence:-189
loop_number:121, bump_number:13, step_number:123, totalValence:-191
loop_number:122, bump_number:14, step_number:124, totalValence:-201
loop_number:123, bump_number:14, step_number:125, totalValence:-202
loop_number:124, bump_number:14, step_number:126, totalValence:-205
loop_number:125, bump_number:14, step_number:127, totalValence:-206
loop_number:126, bump_number:14, step_number:128, totalValence:-207
loop_number:127, bump_number:14, step_number:129, totalValence:-202
loop_number:128, bump_number:14, step_number:130, totalValence:-203
loop_number:128, bump_number:14, step_number:131, totalValence:-198
loop_number:129, bump_number:14, step_number:132, totalValence:-199
loop_number:129, bump_number:14, step_number:133, totalValence:-194
loop_number:130, bump_number:14, step_number:134, totalValence:-196
loop_number:131, bump_number:14, step_number:135, totalValence:-199
loop_number:132, bump_number:14, step_number:136, totalValence:-201
loop_number:133, bump_number:14, step_number:137, totalValence:-203
loop_number:134, bump_number:14, step_number:138, totalValence:-205
loop_number:135, bump_number:14, step_number:139, totalValence:-207
loop_number:136, bump_number:14, step_number:140, totalValence:-210
loop_number:137, bump_number:14, step_number:141, totalValence:-211
loop_number:138, bump_number:14, step_number:142, totalValence:-213
loop_number:139, bump_number:15, step_number:143, totalValence:-223
loop_number:140, bump_number:15, step_number:144, totalValence:-226
loop_number:141, bump_number:15, step_number:145, totalValence:-228
loop_number:142, bump_number:15, step_number:146, totalValence:-229
loop_number:143, bump_number:15, step_number:147, totalValence:-231
loop_number:144, bump_number:15, step_number:148, totalValence:-234
loop_number:145, bump_number:15, step_number:149, totalValence:-237
loop_number:146, bump_number:15, step_number:150, totalValence:-240
loop_number:147, bump_number:15, step_number:151, totalValence:-241
